NCBI GeneID
122672944	DNAJC4	
122672965	VEGFB	
122672973	AQP7	
122672976	FBP1	
122672978	FBP2	
122672979	FAM110C	
122672983	ACTL7A	
122672984	SEMA4D	
122672985	SECISBP2	
122672986	CKS2	
122672990	CCL21	
122672991	CCL19	
122672994	DOK2	
122672995	GFRA2	
122672996	RASEF	
122673000	NEFM	
122673002	DNAI1	
122673003	ENHO	
122673004	C16H9orf64	
122673005	PRDX5	
122673007	NEFL	
122673008	BRINP1	
122673009	GADD45G	
122673010	ADAMDEC1	
122673011	PNMA2	
122673013	AQP3	
122673014	MUSK	
122673015	SHOC1	
122673016	PPP1R14B	
122673019	WDR31	
122673021	ZNF462	
122673023	DIRAS2	
122673025	STMN4	
122673026	CATSPERZ	
122673027	ENTPD4	
122673028	SLC25A37	
122673030	BAD	
122673032	SLC28A3	
122673034	FAM120A	
122673035	BARX1	
122673036	TPO	
122673039	SNTG2	
122673041	FAM240B	
122673042	NXNL2	
122673043	FKBP2	
122673044	SLC18A1	
122673045	COL27A1	
122673046	AKNA	
122673047	ZNF618	
122673048	WHRN	
122673049	KIF12	
122673051	TMEM268	
122673052	TNFSF15	
122673053	ORM1	
122673055	ATP6V1G1	
122673056	SVEP1	
122673057	SLC46A2	
122673058	SNX30	
122673060	ARID3C	
122673061	TXNDC8	
122673062	TRMT112	
122673064	PIWIL2	
122673065	PTCH1	
122673068	SLC22A11	
122673069	LOXL2	
122673072	PTBP3	
122673074	CDK5RAP2	
122673075	STIP1	
122673077	TRAPPC12	
122673078	EIPR1	
122673079	FLRT1	
122673081	UBQLN1	
122673082	IDNK	
122673088	MACROD1	
122673114	OTUB1	
122673162	NAA40	
122673178	MARK2	
122673185	TLR6	
122673186	TLR1	
122673187	FAM114A1	
122673189	WDR19	
122673190	RFC1	
122673192	RAP1GDS1	
122673193	TBC1D1	
122673194	SLC9B2	
122673195	SLC9B1	
122673197	CISD2	
122673201	ELOVL6	
122673202	PDS5A	
122673221	HERC5	
122673223	PYURF	
122673224	PIGY	
122673236	EGF	
122673238	ANK2	
122673239	RCOR2	
122673241	RTN3	
122673242	ADGRA3	
122673243	UBE2K	
122673245	TBCK	
122673246	AIMP1	
122673247	CAMK2D	
122673249	ZFTA	
122673250	LEF1	
122673253	HERC3	
122673254	SPINDOC	
122673255	NAP1L5	
122673257	UBE2D3	
122673258	ZGRF1	
122673259	LARP7	
122673261	NEUROG2	
122673263	KLB	
122673264	LIAS	
122673265	RPL9	
122673266	MCUB	
122673267	CASP6	
122673268	NFKB1	
122673271	KLF3	
122673272	DHX15	
122673273	ARHGEF38	
122673274	GSTCD	
122673276	INTS12	
122673277	CCDC149	
122673278	SOD3	
122673280	SGMS2	
122673281	FAM184B	
122673282	ATL3	
122673283	MED28	
122673285	STIM2	
122673288	ARSJ	
122673293	SMIM14	
122673294	NDNF	
122673295	GNPDA2	
122673297	PLAAT3	
122673299	MARCHF1	
122673300	TMA16	
122673302	EMCN	
122673304	DNAJB14	
122673305	LAMTOR3	
122673306	PAPSS1	
122673308	SEC24B	
122673309	ANXA5	
122673310	PKD2	
122673312	PPA2	
122673313	PRDM5	
122673317	LGALS12	
122673318	NPNT	
122673319	ATP10D	
122673320	CORIN	
122673321	KLHL5	
122673322	SMARCAD1	
122673323	PPARGC1A	
122673325	N4BP2	
122673326	PDLIM5	
122673327	SLC30A9	
122673328	PPM1K	
122673329	RELL1	
122673331	BBS7	
122673332	EXOSC9	
122673333	CCNA2	
122673334	LIMCH1	
122673335	NFXL1	
122673336	ATP8A1	
122673338	PRSS12	
122673342	ADH7	
122673343	TMEM33	
122673344	PLAAT5	
122673345	PGM2	
122673350	LCORL	
122673352	NCAPG	
122673353	DCAF16	
122673354	HADH	
122673377	GABRA2	
122673379	CFI	
122673381	PLA2G12A	
122673382	BDH2	
122673384	TBC1D19	
122673386	SEPSECS	
122673387	METTL14	
122673389	AP1AR	
122673392	PPP3CA	
122673394	CNGA1	
122673396	KCTD8	
122673400	ALPK1	
122673401	TIFA	
122673403	GUF1	
122673404	NPY5R	
122673405	TSPAN5	
122673408	FAM241A	
122673410	ZCCHC4	
122673412	UGDH	
122673413	NAF1	
122673414	PI4K2B	
122673416	PHOX2B	
122673417	MEPE	
122673419	CCSER1	
122673421	ATOH1	
122673422	DKK2	
122673424	TNIP3	
122673426	RBM47	
122673431	APBB2	
122673433	NSUN7	
122673436	UNC5C	
122673438	SLC22A8	
122673440	TACR3	
122673443	ANAPC4	
122673446	C17H4orf54	
122673448	UCHL1	
122673449	DTHD1	
122673450	LAP3	
122673453	CENPE	
122673454	CHRM1	
122673456	ABCG2	
122673458	GRXCR1	
122673460	CCKAR	
122673461	OSTC	
122673464	SPP1	
122673465	TRMT10A	
122673466	C17H4orf17	
122673468	ARAP2	
122673470	SLC3A2	
122673473	COMMD8	
122673474	GRID2	
122673476	TMEM156	
122673477	MANBA	
122673478	BMPR1B	
122673480	NIPAL1	
122673481	SEL1L3	
122673484	MMRN1	
122673485	WDR74	
122673486	COL25A1	
122673491	CXXC4	
122673492	GAR1	
122673493	GPRIN3	
122673494	RHOH	
122673496	SYNPO2	
122673500	PDHA2	
122673504	CHRNA9	
122673505	PITX2	
122673509	TAF6L	
122673510	METAP1	
122673511	EIF4E	
122673513	DDIT4L	
122673515	TIGD2	
122673516	YIPF7	
122673517	PACRGL	
122673518	HPGDS	
122673520	SLC39A8	
122673521	KCNIP4	
122673523	RPL34	
122673525	BANK1	
122673526	GABRB1	
122673528	NWD2	
122673529	C17H4orf19	
122673532	NXF1	
122673534	SEC24D	
122673536	TRAM1L1	
122673538	STX5	
122673539	ETNPPL	
122673540	GIMD1	
122673541	DAPP1	
122673547	QRFPR	
122673548	LGI2	
122673553	RBPJ	
