MSTRG.1	0
MSTRG.10	22
MSTRG.100	360
MSTRG.1000	353
MSTRG.10000	0
MSTRG.10001	305
MSTRG.10002	713
MSTRG.10003	36
MSTRG.10004	10
MSTRG.10005	12
MSTRG.10006	1
MSTRG.10007	480
MSTRG.10008	2125
MSTRG.10009	239
MSTRG.1001	300
MSTRG.10010	407
MSTRG.10011	193
MSTRG.10012	319
MSTRG.10013	6
MSTRG.10014	3
MSTRG.10015	213
MSTRG.10016	301
MSTRG.10017	7
MSTRG.10018	451
MSTRG.10019	13
MSTRG.1002	103
MSTRG.10020	111
MSTRG.10021	471
MSTRG.10022	101
MSTRG.10023	373
MSTRG.10024	0
MSTRG.10025	1229
MSTRG.10026	1154
MSTRG.10027	10
MSTRG.10028	179
MSTRG.10029	484
MSTRG.1003	54
MSTRG.10030	666
MSTRG.10031	100
MSTRG.10032	53
MSTRG.10033	196
MSTRG.10034	1123
MSTRG.10035	2
MSTRG.10036	1
MSTRG.10037	2
MSTRG.10038	1104
MSTRG.10039	3
MSTRG.1004	1
MSTRG.10040	1231
MSTRG.10041	437
MSTRG.10042	22
MSTRG.10043	355
MSTRG.10044	172
MSTRG.10045	856
MSTRG.10046	287
MSTRG.10047	1
MSTRG.10048	0
MSTRG.10049	25
MSTRG.1005	18
MSTRG.10050	48
MSTRG.10051	538
MSTRG.10052	301
MSTRG.10053	439
MSTRG.10054	10
MSTRG.10055	1086
MSTRG.10056	87
MSTRG.10057	0
MSTRG.10058	0
MSTRG.10059	8
MSTRG.1006	388
MSTRG.10060	13
MSTRG.10061	263
MSTRG.10062	1
MSTRG.10063	0
MSTRG.10064	375
MSTRG.10065	379
MSTRG.10066	9
MSTRG.10067	27
MSTRG.10068	43
MSTRG.10069	17111
MSTRG.1007	4
MSTRG.10070	449
MSTRG.10071	31
MSTRG.10072	269
MSTRG.10073	1227
MSTRG.10074	285
MSTRG.10075	9
MSTRG.10076	679
MSTRG.10077	3
MSTRG.10078	237
MSTRG.10079	1
MSTRG.1008	3
MSTRG.10080	0
MSTRG.10081	163
MSTRG.10082	661
MSTRG.10083	4
MSTRG.10084	733
MSTRG.10085	251
MSTRG.10086	3
MSTRG.10087	827
MSTRG.10088	4167
MSTRG.10089	243
MSTRG.1009	0
MSTRG.10090	73
MSTRG.10091	600
MSTRG.10092	634
MSTRG.10093	191
MSTRG.10094	1608
MSTRG.10095	7
MSTRG.10096	222
MSTRG.10097	621
MSTRG.10098	4
MSTRG.10099	570
MSTRG.101	3253
MSTRG.1010	1
MSTRG.10100	607
MSTRG.10101	6
MSTRG.10102	4
MSTRG.10103	1442
MSTRG.10104	234
MSTRG.10105	3
MSTRG.10106	11
MSTRG.10107	655
MSTRG.10108	1755
MSTRG.10109	195
