MSTRG.1	0
MSTRG.10	40
MSTRG.100	492
MSTRG.1000	364
MSTRG.10000	10
MSTRG.10001	333
MSTRG.10002	764
MSTRG.10003	95
MSTRG.10004	24
MSTRG.10005	29
MSTRG.10006	2
MSTRG.10007	368
MSTRG.10008	2169
MSTRG.10009	359
MSTRG.1001	295
MSTRG.10010	731
MSTRG.10011	367
MSTRG.10012	495
MSTRG.10013	10
MSTRG.10014	2
MSTRG.10015	211
MSTRG.10016	373
MSTRG.10017	2
MSTRG.10018	705
MSTRG.10019	5
MSTRG.1002	119
MSTRG.10020	113
MSTRG.10021	821
MSTRG.10022	182
MSTRG.10023	329
MSTRG.10024	0
MSTRG.10025	1919
MSTRG.10026	1391
MSTRG.10027	9
MSTRG.10028	329
MSTRG.10029	764
MSTRG.1003	311
MSTRG.10030	590
MSTRG.10031	129
MSTRG.10032	102
MSTRG.10033	263
MSTRG.10034	1080
MSTRG.10035	3
MSTRG.10036	9
MSTRG.10037	1
MSTRG.10038	1447
MSTRG.10039	15
MSTRG.1004	8
MSTRG.10040	1649
MSTRG.10041	310
MSTRG.10042	60
MSTRG.10043	726
MSTRG.10044	135
MSTRG.10045	1233
MSTRG.10046	429
MSTRG.10047	3
MSTRG.10048	0
MSTRG.10049	29
MSTRG.1005	43
MSTRG.10050	67
MSTRG.10051	1043
MSTRG.10052	346
MSTRG.10053	302
MSTRG.10054	0
MSTRG.10055	1180
MSTRG.10056	146
MSTRG.10057	5
MSTRG.10058	0
MSTRG.10059	13
MSTRG.1006	481
MSTRG.10060	17
MSTRG.10061	275
MSTRG.10062	1
MSTRG.10063	0
MSTRG.10064	559
MSTRG.10065	466
MSTRG.10066	7
MSTRG.10067	31
MSTRG.10068	22
MSTRG.10069	15109
MSTRG.1007	1
MSTRG.10070	312
MSTRG.10071	29
MSTRG.10072	349
MSTRG.10073	1220
MSTRG.10074	498
MSTRG.10075	24
MSTRG.10076	670
MSTRG.10077	3
MSTRG.10078	329
MSTRG.10079	2
MSTRG.1008	4
MSTRG.10080	0
MSTRG.10081	218
