MSTRG.1	0
MSTRG.10	93
MSTRG.100	276
MSTRG.1000	363
MSTRG.10000	170
MSTRG.10001	675
MSTRG.10002	1068
MSTRG.10003	57
MSTRG.10004	16
MSTRG.10005	7
MSTRG.10006	4
MSTRG.10007	405
MSTRG.10008	1964
MSTRG.10009	198
MSTRG.1001	118
MSTRG.10010	466
MSTRG.10011	167
MSTRG.10012	249
MSTRG.10013	3
MSTRG.10014	1
MSTRG.10015	26
MSTRG.10016	303
MSTRG.10017	0
MSTRG.10018	424
MSTRG.10019	3
MSTRG.1002	50
MSTRG.10020	120
MSTRG.10021	482
MSTRG.10022	431
MSTRG.10023	424
MSTRG.10024	1
MSTRG.10025	1406
MSTRG.10026	1146
MSTRG.10027	6
MSTRG.10028	241
MSTRG.10029	408
MSTRG.1003	157
MSTRG.10030	400
MSTRG.10031	247
MSTRG.10032	703
MSTRG.10033	349
MSTRG.10034	1765
MSTRG.10035	4
MSTRG.10036	7
MSTRG.10037	4
MSTRG.10038	787
MSTRG.10039	1
MSTRG.1004	0
MSTRG.10040	418
MSTRG.10041	407
MSTRG.10042	44
MSTRG.10043	277
MSTRG.10044	34
MSTRG.10045	658
MSTRG.10046	437
MSTRG.10047	1
MSTRG.10048	0
MSTRG.10049	27
MSTRG.1005	2
MSTRG.10050	24
MSTRG.10051	810
MSTRG.10052	235
MSTRG.10053	268
MSTRG.10054	0
MSTRG.10055	1196
MSTRG.10056	5
MSTRG.10057	0
MSTRG.10058	0
MSTRG.10059	16
MSTRG.1006	207
MSTRG.10060	14
MSTRG.10061	434
MSTRG.10062	2
MSTRG.10063	0
MSTRG.10064	280
MSTRG.10065	154
MSTRG.10066	4
MSTRG.10067	35
MSTRG.10068	22
MSTRG.10069	6167
MSTRG.1007	0
MSTRG.10070	154
MSTRG.10071	19
MSTRG.10072	321
MSTRG.10073	1261
MSTRG.10074	227
MSTRG.10075	40
MSTRG.10076	578
MSTRG.10077	3
MSTRG.10078	786
MSTRG.10079	2
MSTRG.1008	0
MSTRG.10080	17
MSTRG.10081	211
MSTRG.10082	633
MSTRG.10083	5
MSTRG.10084	695
MSTRG.10085	520
MSTRG.10086	6
MSTRG.10087	815
MSTRG.10088	682
MSTRG.10089	363
MSTRG.1009	0
